Transliterated_Comment,final_label,gpt_labelled
ye apman h mere prbhu ka nas hoga dekha lena,non-sarcastic,sarcastic
cross_mark cross_mark cross_mark cross_mark check_mark_button check_mark_button check_mark_button check_mark_button check_mark_button fire fire fire,non-sarcastic,sarcastic
sudhaanshu trivedee chalataa phirataa googala hai unake saamane koee jeeta naheen sakataa naheen yaha galata bolate hain,non-sarcastic,sarcastic
"road toh hai nahi, par wifi zaroor hai",sarcastic,sarcastic
Bohut jyada khush hona chahiye q ki Gujarat lakho log ek time pe mare gaye the usi ilake se humare pm hai to kya hum khus na ho thoda to soch ke bole anchoring karne diya to kuch bhi bina soche bakchodi karoge kya thinking_face thinking_face,sarcastic,sarcastic
"iska kya karna he aap hi jane sir ji, ye jabar dasti rukni chahiye, he ham sabki request he aapse,,, please folded_hands_light_skin_tone",non-sarcastic,non-sarcastic
One more reason why we want 400+ triangular_flag,sarcastic,sarcastic
aare didi mujhe phone kardeti me aja ta slightly_smiling_face,non-sarcastic,non-sarcastic
beesh lakh mere khate me nahi aya,non-sarcastic,sarcastic
naa laalacha dene vaalo ko kucha milaa naa laalacha karane vaalo ko raama kaa nyaaya,non-sarcastic,sarcastic
are narasaalyaa tulaa dusaryaa vhidio bhetata naaheeta kaa re naalaayakaa jichyaa potee janmaalaa aalaa aahesa naa tyaachaa aaeene tulaa lahaana asataanaacha tulaa tudavoona maaraayalaa paahije hotaa kaarana tujhyaasaarakhee paidaashee kaasheeda ghaalaayalaa janmaalaa aalee tujhyaa gharaatale jara kona udavale asate naa mele asate naa tyaachyaavaratee pana vhidio kaadhalaa asataasa kaa re aaee ghaalyaa raandachyaa he je karaayachanya naa tyaa agodara vichaara karaayalaa paahije hotaasa aaee ghaalyaa aataa kashaalaa saangatosa evadhe paise laagateela tevadhe paise laagateela pahilee kashaalaa bonbalaayalaa vhidio banavata hotaasa kaa tulaa dusaryaa vhidio naaheeta kaa bhetalyaa are tumachyaa saarakhecha naa narasaale aaee ghaalata asataata tulaa tara polisaannee naa asaa aata madhye taakalaa paahije naa shevataparyanta baaheracha too naahee yaayalaa paahije tithe aata madhyecha kaidee aaheta tyaanchyaavaratee vhidio banavoo,sarcastic,sarcastic
"te kaahee pana aso tulaa nibandha naheen lihaayalaa laavanaara tulaa gho.daa laavaanaara te , 2 mardara kara nibandha lihuna sutoonna jaasheela pana too shivyaa dilyaata te khupa motha kraaima aahe mardara pekshaa skull",sarcastic,sarcastic
He parabhu ye kya huaa face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
"han, uske khidki khuli thi jismein se baburao jhank raha tha.",sarcastic,sarcastic
India India India India India India India India India folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands folded_hands,non-sarcastic,non-sarcastic
Adopted a stray pup today! Naam rakha ‘Buddy’ 🐶 #DogDad,non_sarcastic,non-sarcastic
eess lady ko salam koshish to ki kutton se ladne ki,sarcastic,sarcastic
eendian tv serials on insta skull check_mark_button,non-sarcastic,sarcastic
dhrub bandke loda zada jan ta ha,non-sarcastic,sarcastic
Gravity ? Gravity gye maa chudane aise koi chiz he nhi hote crying_face,non-sarcastic,sarcastic
aare niya madarchod randi ke jalmal,non-sarcastic,sarcastic
जय श्री राम triangular_flag triangular_flag hindu_temple hindu_temple,non-sarcastic,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing sudhir ji khata khat nahi tka tak tka tak ab oska mehlaeay osko gali Dey Rahi hai fta fat,non-sarcastic,sarcastic
bhai maszid ko control kya krenge control waha kiya jata hai jahan paise arhe ho kya taz nahal sarkar ke under me nhi ata ? naszid to wobhi hai but waha paise ate hain tax bhi jata hai uska paisa bhi sarkar leti hai sarkar ke under me bhi ata hai ....maszid is like a pooja ghar ....waha log jate hain namaz pdhte hain or.ajate hain to apka ghar sarkar thodi control kregi jo apne bnaya apka jamin hai apka paisa lga hai to wo control ap kroge na ya koi or krega ? aagar mandir ka dan system khtm krdo to dekho kisi bhi mandir me tax nhi lgega or baht se mandir tax nhi dete jahan jyada famous mandir hai wahi jahan croro dan ate hain tax wo dete hain or wahi sarkar ke under me ata hai ....kya apke gao ka jo normal nandir hota hai waha tax lagta hai nhi na ? that's why na maszid tax deti or na sarkar ke under me ata or kaha kisi ka hota hai ....waqf board bhi sirf ak grp hai jo sare maszid ke legal work or renovation wagaira dekhne ke liye wo bord hai or koi jamin waqf board ka ya unke abba ka nhi hai wo maszid eidgah kabitan ki jamin unke dekh rekh me hoti hai unki nhi hoti hai baki propaganda ke liye to kuchh bhi bol do,non-sarcastic,non-sarcastic
"Kehna kya chahte ho , Gaand jali he magar bata nahi sakte hena face_with_tears_of_joy",non-sarcastic,sarcastic
"Are dada crying_face crying_face tu ky bamvtoy ky बोलतोय याच जरा भान ठेव की म,,असो होत ते चांगल्या साठीच होत, face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy तुझ्या रॅप चे आणि तुझे दिवस भरलेत,",sarcastic,sarcastic
dhruv rathi jab jankari na hona to nahin bola jata hai cross_mark,sarcastic,sarcastic
chapri rider hamesha dusro ko taklif dete hai,non-sarcastic,sarcastic
Hum log ke arrahe hai check_mark_button check_mark_button check_mark_button,non-sarcastic,sarcastic
"Mountain dew, dar ki ma ka bhosada face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy",sarcastic,sarcastic
face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth,non-sarcastic,sarcastic
to suna betaa teree choota bhee jindaa thee jindaa hai aura jindaa rahegee,non-sarcastic,sarcastic
Abhi German shepherd paida bhi theek se nahi hua aur Gyan pelne lega hai face_with_tears_of_joy,sarcastic,sarcastic
yaalaa mhanataata jha.......ta gaadhava ooraavara ghena grinning_face_with_sweat,sarcastic,sarcastic
gravity ki maka bhosda check_mark_button aj samjh aya,sarcastic,sarcastic
Last me gana sun ke kon kon vibe le rha hai rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
is hi liye inko bahen chod bolte hai sab face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Jhoot bolo baar baar bolo face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Heart touching cross_mark cross_mark lever touching video check_mark_button check_mark_button check_mark_button rolling_on_the_floor_laughing rolling_on_the_floor_laughing loudly_crying_face loudly_crying_face,non-sarcastic,sarcastic
hija.de hee bola do ayodhyaa vaalon achchaa hogaa kyonki hindoo kahalana ke laayaka to tuma ho naheen crying_face sabhee yoopee vaalon ko naheen bola sakate kyonki 34 seeta beejepee jeetee bhee hai smiling_face_with_heart-eyes,sarcastic,sarcastic
"Painting kari, masterpiece ban gaya, madarchod Picasso fail! 😂",sarcastic,sarcastic
enraged_face enraged_face enraged_face India cross_mark mc,non-sarcastic,sarcastic
to thoda bhn ka luda hai,sarcastic,sarcastic
sale and bhatt abhi to sudhar jao,sarcastic,sarcastic
Behen ka to pata tha lekin beti bi expressionless_face face_with_tears_of_joy,non-sarcastic,sarcastic
"Roommate bolta hai bas 2 peg piyunga, fir bottle khatam karta hai. Abey daru hai ya nimbu paani? 🍻🤣",sarcastic,sarcastic
Transliterated_Comment,sarcasm_label,unknown
Mommy bachao koi hamare chotu Jarman shepherd ko Sheer ne attack kar diya,non-sarcastic,non-sarcastic
ooske bap ne ne kiya na sala pareshan tha tab,non-sarcastic,sarcastic
i still remember . . . during sharjah matches . . . . the scene was use to be the same sachin jab tak khel ra hai hilnaa mat,non_sarcastic,non-sarcastic
eeslam me ye chiz haram hai . een jaise log bina kuch jane bkwas krte hai,non-sarcastic,sarcastic
Transliterated_Comment,sarcasm_label,unknown
mountain dew cross_mark cross_mark Desi daru check_mark_button check_mark_button,sarcastic,sarcastic
"photo khinchwa lo, kaam baad mein hoga",sarcastic,sarcastic
No never cross_mark cross_mark cross_mark cross_mark cross_mark cross_mark triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
"Ab pta chala behencho** gali kiu nikla,enke jaise logo k liye face_with_tears_of_joy face_with_tears_of_joy",sarcastic,sarcastic
Gravity went to washroom for batting shaking_face,non-sarcastic,sarcastic
triangular_flag moai hundred_points India India India India movie_camera smiling_face_with_horns smiling_face_with_horns smiling_face_with_horns smiling_face_with_horns smiling_face_with_horns folded_hands smiling_face_with_horns,non-sarcastic,sarcastic
manje too kharaaba too gahaana maga sagale kharaaba kaa . kutree,sarcastic,sarcastic
he ashe bolataata kashe re enraged_face,non-sarcastic,sarcastic
rahul gandhi ki sarakr hi nhi bani to kaha se denge ab agar unki party to ayi nhi ab kaha se degi,sarcastic,sarcastic
Mountain dew ke botal Mae Desi daru check_mark_button or chekna me 5 star chocolate chocolate_bar check_mark_button,non-sarcastic,sarcastic
ye bhi band hona chaiye sir,non-sarcastic,sarcastic
ye sali jari mari ye kural ki chinal hogi,non-sarcastic,sarcastic
aaisi news modi ki time kyu nahi banayi thi jab modi ne wada kya tha enraged_face enraged_face,sarcastic,sarcastic
R A N D I red_heart fire,non-sarcastic,sarcastic
tuje kese malum bol diya tere ma ne tere ko bola tha.me,non-sarcastic,sarcastic
India India flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps flexed_biceps,non-sarcastic,non-sarcastic
Medical store band tha us raat face_with_tears_of_joy,non-sarcastic,sarcastic
I dint search for him still I get him in my feeds pensive_face WTF Instagram!,non-sarcastic,sarcastic
Seriously Matlab kuch bhi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
ye hija.daa nibhaaegaa bhaaee chaaraa jo hinduo kaa mandira hinduo ko dene se itanaa dukhee hee hai crying_face,non-sarcastic,sarcastic
oop vaale hindoo hijade nikale folded_hands_light_skin_tone folded_hands_light_skin_tone folded_hands_light_skin_tone,sarcastic,sarcastic
tu yadav hi ja muslim ke ghar ja,non-sarcastic,sarcastic
face_with_symbols_on_mouth face_with_symbols_on_mouth angry_face angry_face angry_face angry_face angry_face angry_face crossed_swords crossed_swords crossed_swords crossed_swords crossed_swords,non-sarcastic,sarcastic
IT cell ki sulag rahi hai...... Payment nahi milegi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Bike can knocked out that articulated_lorry ..,non-sarcastic,sarcastic
nountain dew dar ki man ka bhosda moai,sarcastic,sarcastic
nountain dew dar ki ma chod de moai skull,non-sarcastic,sarcastic
"wo to mill gya na, yeh ab milega bss yahi fark h",sarcastic,sarcastic
Eat 5 Star Do Nothing face_with_tears_of_joy Mountain Dew Daar ki Maa ki Chut* rolling_on_the_floor_laughing,non-sarcastic,sarcastic
ye jyda bakwas nt kro ye bjp ka hi hai samjhe,non-sarcastic,sarcastic
shankaraachaarya jee pooraa korta la.de the tuma loga kyaa kie the aaja kredita lene ke lie taiyaara ho,sarcastic,sarcastic
aaai bapachi jara tari ijjat theva .....udya nagdyane video banva,sarcastic,sarcastic
Ye chutiyapa tha hai or rahe ga enraged_face,non-sarcastic,sarcastic
Kiski galti ti kon kon dhek nd aaya comment face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
We can reduce their population using violence so don't worry,sarcastic,sarcastic
red_heart red_heart red_heart red_heart India India India India India India India,non-sarcastic,non-sarcastic
khatama karanaa hai isa vakpha borde ko,non-sarcastic,sarcastic
Proud to be Hindu triangular_flag triangular_flag,non-sarcastic,non-sarcastic
aaap to ma chod diye iski bhaia ji,non-sarcastic,sarcastic
hindoo hai hindoo the aura rahenge,non-sarcastic,non-sarcastic
Mountain dew dar ki maa ki chut face_with_tears_of_joy skull moai,non-sarcastic,sarcastic
5 star do nothing + daar ki maa ki chu face_with_tears_of_joy,sarcastic,sarcastic
yar like kar kon rha hai aisi videos face_with_tears_of_joy,sarcastic,sarcastic
Bhai ek baar in dono ka Collab karwa do face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,non-sarcastic
Isko kmi hai abhi loodye ki face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy puri kro,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy clapping_hands,non-sarcastic,sarcastic
aj to mehenga wala mal mangwaya hai ne,sarcastic,sarcastic
Waqf borad cross_mark_button what the fuck board check_mark_button,non-sarcastic,sarcastic
ab babar k maregea or nahakal ko paran partistha karegea red_heart,non-sarcastic,sarcastic
Reel moai comments skull moai moai moai moai rolling_on_the_floor_laughing,non-sarcastic,sarcastic
Didi ne intentionally etta feka tha face_with_tears_of_joy rolling_on_the_floor_laughing crying_face slightly_smiling_face,non-sarcastic,sarcastic
Sudhanshu Trivedi eat 100 dhruv rathi (Jarman shepherd) in breakfast cooking pancakes,non-sarcastic,sarcastic
Jay shree ram triangular_flag triangular_flag triangular_flag,non-sarcastic,non-sarcastic
koi orat isko nikalo sale hath lga k dekhe fr namard honge,sarcastic,sarcastic
bolne se kah hoga kuch kar to nhi paya,non-sarcastic,sarcastic
Yaha pelege waha bhi pelege face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
lo lelo ab pappu ki bat me a gaye bewkoof,sarcastic,sarcastic
Please arrest in bhan ki lode,sarcastic,sarcastic
triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic,sarcastic
sooo creative . . u guys r awsummm .,non_sarcastic,non-sarcastic
yeh video kaha ka hai yrrr hamare desh ka jhanda,non-sarcastic,sarcastic
gaya chutke tu gand me bhot kida hai n kr or rap chutke,non-sarcastic,sarcastic
"Sab bol rahe the Avengers must-watch hai, but main aadha time popcorn ke liye fight kar raha tha. Wah kya experience tha! 🍿😑",sarcastic,sarcastic
When Death is on Holiday check_mark_button face_with_tears_of_joy,non-sarcastic,sarcastic
thoda sabar karo election khatam hone doo waqf board bhi 370 ki tarah khatam ho jayega. triangular_flag,sarcastic,sarcastic
hichya gandit ghala ukallela tel sweat_droplets,non-sarcastic,sarcastic
"Online meetings mein mute pe jokes bolne wale bhai—bc kuch naya kar lo, pak gaye tumse! 🎙️🤡",sarcastic,sarcastic
BKL PAGAL BOLIGAND MULLE CHUTIYA MENTALITY KE LOG,non-sarcastic,sarcastic
face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth,non-sarcastic,sarcastic
dekh le mansikta madharcodon ki wah beta clapping_hands,sarcastic,sarcastic
Desi tharre ka kamaal hai rolling_on_the_floor_laughing rolling_on_the_floor_laughing check_mark_button,non-sarcastic,sarcastic
Behenchod 5 din se Amazon ka parcel ‘out for delivery’ hai. Delivery boy ko Mars pe jaana tha kya? 🚀 #PatienceTest,sarcastic,sarcastic
bhai ispe to video banao ab kya hua,non-sarcastic,sarcastic
Dar ki maa ki ch***t rolling_on_the_floor_laughing rolling_on_the_floor_laughing,non-sarcastic,sarcastic
aare had kutry. tya je kahi bolalya te kharokharach ahe,non_sarcastic,sarcastic
gawar agar padh likh ke kuch ban nhi sakta to ye chaprigiri hi karega,sarcastic,sarcastic
"Log bol rahe hain pyaaz ka price normal ho gaya hai, aur main abhi bhi gold ke rate pe khareed raha hoon. Yeh market mere against hai kya? 🧅💰",sarcastic,sarcastic
Ye aadmi khud m wikipedia h face_with_tears_of_joy,non-sarcastic,sarcastic
𝒴𝒶𝒽𝒶 𝑀𝓊𝓈𝓁𝒾𝓂 𝒟𝒾𝓀𝒽𝒶𝒾 𝒩𝒽𝒾 𝒹𝑒 𝓇𝒶𝒽𝑒 rolling_on_the_floor_laughing .𝒥𝒶𝓎 𝓈𝒽𝓇𝑒𝑒 𝓇𝒶𝓂,non-sarcastic,sarcastic
RT : Good to see Manoj Kumar at the centrestage once agn ! The original Bharat Kumar who brought patriotism to IndianCinema h,non_sarcastic,non-sarcastic
tum log khusre ho..danda pakado or todna shuru karo.,sarcastic,sarcastic
i am from up but not dogla hindu angry_face enraged_face,non-sarcastic,sarcastic
"ek aur poster, ek aur disappointment",sarcastic,sarcastic
Mondenet dew dar ki maa ki chood face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
share karo market mein naya aya hai,non_sarcastic,non-sarcastic
eesme galti kisi ki nhi h yaha modi ji ki h qki isko saja honi chahiye or tikit mil gya isko saja honi chahiye,non-sarcastic,sarcastic
Om modi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy vale like kare,sarcastic,sarcastic
Baki ke video me toh muh utha ke aa jayga ladke or ladkiya proud to be mushlim ab koi dikhai kyu nhi de raha face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
aavaasa khaa gae modee jee ke,sarcastic,sarcastic
apanee to deela ho gayaa hai hama to khataakhata khataakhata vaalaa masheena hee lenge rolling_on_the_floor_laughing,non-sarcastic,sarcastic
Mohammad ka full form = Moh + aham + mad (An ignorant fool deluded by lust and attachment),non-sarcastic,sarcastic
Before the invitation of gravity check_mark_button grinning_face_with_sweat,non-sarcastic,sarcastic
Vote for the Allah ka face reveal eyes eyes eyes eyes,non-sarcastic,sarcastic
"ya taina jra ikva aple pathya pustak, tevha kahi kdel",non-sarcastic,sarcastic
He already spoken.. just watch his video regularly,non-sarcastic,non-sarcastic
lavadyaa kashyaalaa ryaapa kelaa tujhyaa gaandeelaa mastee,non-sarcastic,sarcastic
Gravity Maa chudane Gai ky crying_face,non-sarcastic,sarcastic
Proud to be hindu triangular_flag triangular_flag triangular_flag triangular_flag,non-sarcastic,non-sarcastic
Tri gad m.dam.balpad.ly.mary face_with_tears_of_joy face_with_tears_of_joy bolo jy Shri Ram red_heart red_heart folded_hands,non-sarcastic,non-sarcastic
Jay shri ram folded_hands folded_hands red_heart red_heart red_heart smiling_face_with_hearts triangular_flag,non-sarcastic,non-sarcastic
kashaalaa yechyaa techyaa gaandeeta bota ghaaleeta hotaa maga chutiyaa bhokaachyaa,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy hd ho gyi hd mtlb face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Pov - it only happens in India serial disguised_face,sarcastic,sarcastic
5 Star Plus Mountain Dew Dar Ki maki c##t fire face_with_tears_of_joy,non-sarcastic,sarcastic
Chamacha and german shepherd ka fans clown_face dog pig_face,non-sarcastic,sarcastic
secular hinduo ki bkc bkl ki wajah say yeh fatey c ki paidaish ne aisi harkat krney ki himmat ki!,sarcastic,sarcastic
jahlat pn ki bhi had hai yr,non-sarcastic,sarcastic
aagar yeh wafq board nhi rahega toh...koi bhi zameen kabza kar lega....aur konsi mandir ki property claim kiya hain...fake news mat failao...,non-sarcastic,non-sarcastic
"I can, t blive me you go hospital",non-sarcastic,non-sarcastic
In dono ka ek debate competition karwa Dena chahiye face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
public ke feedback se post delete kar diya,sarcastic,sarcastic
One five star do nothing + mountaim dew dar ki ma ki chut,non-sarcastic,sarcastic
Par face reveal kab hoga face_with_tears_of_joy,sarcastic,non-sarcastic
aaise hi hona chahiye bharvsa karne layk hai kya o dektena didi,non-sarcastic,sarcastic
eat 5 star do nothing skull skull,sarcastic,sarcastic
Heart Touching vedio cross_mark_button kidney Touching vedio check_mark_button,non-sarcastic,sarcastic
to ye baat tum tumhari ammi or khala ko btao naa face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
fire fire fire fire crying_face crying_face crying_face,non-sarcastic,sarcastic
eesiliye ham bhi chhatrapati sambhaji maharaj ke sath jo mughalon ne kiya woh nahi bhulenge triangular_flag,non-sarcastic,non-sarcastic
hee chinaala aahe yaache 10baapa hote,non_sarcastic,sarcastic
Transliterated_Comment,sarcasm_label,unknown
aakhand bharat toh yeh log karne wale,non-sarcastic,sarcastic
gand fatli tevha akkal aali lavdyala face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
Hm desh ke Hindu h BJP ke andhbhakt Hindu nahi face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
sach me Jay shree Ram triangular_flag red_heart,non-sarcastic,non-sarcastic
India India India India India India India India India India India red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart red_heart,non-sarcastic,non-sarcastic
kuch bolungi vivad ho jyega .....,sarcastic,sarcastic
een dallo mi maki chu* eendia,non-sarcastic,sarcastic
"Tujhe sign up kar ke 1000 rs mere account me daalne padenge, tab hi recharge ho payega.",non_sarcastic,sarcastic
aacha bhabhi ji ne bal color karwa liye ka?,sarcastic,sarcastic
Modi respect button check_mark_button check_mark_button check_mark_button,sarcastic,sarcastic
Maulana ko salary mullo se nhi milta nahi donation face_with_tears_of_joy,sarcastic,sarcastic
Nonsense learn to respect others kya sikya gurunansk ne tomlogko,non-sarcastic,sarcastic
Hijde h saale face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
"bhai yeh toh real hai, bilkul CGI nahi",sarcastic,sarcastic
Bhai ka subscription bekar ni jana chahiye grinning_face_with_sweat face_with_tears_of_joy,non-sarcastic,sarcastic
tumhare vichar badalne mein der nahi lagti,sarcastic,sarcastic
middle_finger middle_finger middle_finger middle_finger enraged_face enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
Land nhi milnewala enraged_face enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
chapri raider smiling_face_with_sunglasses middle_finger middle_finger middle_finger middle_finger,sarcastic,sarcastic
Shudhansu Trivedi chalta firta goggle red_heart,non-sarcastic,non-sarcastic
Heart touching cross_mark heart attack video check_mark_button,non-sarcastic,sarcastic
Men someone please take him to good doctor person,non-sarcastic,sarcastic
tumhara PR team kamaal ka hai,sarcastic,sarcastic
face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
godi media desh ka gaddar media hai,non-sarcastic,sarcastic
Jali h fire inki abhi hahahha face_with_tears_of_joy,non-sarcastic,sarcastic
ek our hijda bola face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Don’t mess with chalta firta google grinning_face_with_sweat,non-sarcastic,sarcastic
Yevdhi sundrta god gift ki Santoor cha Kamaal winking_face winking_face winking_face red_heart smiling_face_with_heart-eyes,non-sarcastic,non-sarcastic
Abhi system bne do bhai check_mark_button,non-sarcastic,sarcastic
bhaavaa manaapaasoona saॉree tulaa laya shivyaa haasaadalyaa face_with_tears_of_joy face_with_tears_of_joy maapha kara bhaaee aamhaalaa kutha maahita hota tu pana tyaa ghataneviruddha aavaaja uthavata hotaasa face_with_tears_of_joy | poleesa kharacha yede jhaaleta,sarcastic,sarcastic
5 varshe phukata raashana khaa ke vote diyaa kaa.ngresa ko,non-sarcastic,sarcastic
Transliterated_Comment,sarcasm_label,unknown
Women empowerment face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
"chalo aapa jahaan kaangresa jeeta chukee hai vahaan ki logon ko achchee jaॉba aura mahilaaon ko hara maheene 8500 bainka khaate men aanaa hee chaahie kyonki una logon ne kaangresa para vishvaasa kiyaa hai aura kaangresa ko vota diyaa hai aba dekhate hain kaangresa apanaa vaadaa pooraa karatee hai yaa naheen aura jahaan para samaajavaadee paartee hai vaha bhee apanaa vaadaa pooraa karatee hai yaa naheen jo gareebon kee baaten karate hain yaa sirpha chunaava jeetane ke lie meraa bhaarata mahaana satyameva jayate,, eendia flexed_biceps",sarcastic,sarcastic
aabe budha ho gaya pr mc m buddhi billkul nhi h .,sarcastic,sarcastic
face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth face_with_symbols_on_mouth,non-sarcastic,sarcastic
babar ki aulad ki acha sanskar hai,sarcastic,sarcastic
hee sagalyaata galeechcha tondaachee baaee aahe.. divasaalaa baapa badalanaaree aahe.. aapalyaa devaanna baddala apashabda bolanaaree hee aaja bhikaaradee vota ba.cnka saathee tyaacha devataanchyaa mandiraata bhika maangata aahe.. aani hilaa mandiraata oobhe karaanaare tara mahaanaalaayaka asateela… enraged_face enraged_face enraged_face,non-sarcastic,sarcastic
Match ke final over mein power cut ho gaya. Ab gharwale pooch rahe score kya hua? Mujhe kaun batayega?! 🙄🏏 #DesiCricketFan,sarcastic,sarcastic
allaha ka gender bata face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Jay shree ram orange_heart orange_heart orange_heart orange_heart orange_heart orange_heart orange_heart,non-sarcastic,non-sarcastic
Htt sale lulli kate rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
aadhik saman ka ye he natiza hota hai,non-sarcastic,non-sarcastic
rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing enraged_face enraged_face,non-sarcastic,sarcastic
"aa small farmer in nahoba "" #oottarpradesh : matar 6 rs kilo bech raha hun #notebandi ke karan ! aab chunav me batayenge inko 0",sarcastic,sarcastic
"Relatives poochte hain beta career plan kya hai, jaise unke paas NASA ka joining letter ready pada ho. Thank you concern ke liye! 🙏😒 #FamilyDrama",sarcastic,sarcastic
Beauty of islam face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
Todo wo mndir ko inligal banaya gya hai tod dale ab ham ? face_with_tears_of_joy,sarcastic,sarcastic
baalaasaahebaannaa hindoo samraata mhanoona yaannee uddhava thaakare yaanche cha**** bharatee kele face_with_tears_of_joy,non-sarcastic,sarcastic
sab milkar desh ka satyanaash kar rahe hain,sarcastic,sarcastic
Transliterated_Comment,sarcasm_label,unknown
face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy is jese cutey rah gay bs,non-sarcastic,sarcastic
Ohh Yes ye sahi hai raising_hands clapping_hands clapping_hands,non-sarcastic,non-sarcastic
Spider man cross_mark chutar man check_mark_button,non-sarcastic,sarcastic
sushme tulaa jhavalee kamenta karanaaree sarva dosta mandalee,non-sarcastic,sarcastic
Dar ki maa ki face_with_tears_of_joy check_mark_button,non-sarcastic,sarcastic
Bhai inse panga mat ke face_with_tears_of_joy face_with_tears_of_joy,non-sarcastic,sarcastic
"Kiv yete Uddhav hyanchi, satte sathi ashhya bai la sobat thevta",sarcastic,sarcastic
Ye congress ka cheating hai desh k liye...,non-sarcastic,sarcastic
Sab muslim mahila hai free ka khane ke liye ye log ko haram ki khane ki aadat hai rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
kaash ground pe bhi aisa kaam dikhta,sarcastic,sarcastic
12 hi to nahi baj rahe face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy,sarcastic,sarcastic
